iter	MultiClass
0	1.021054612
1	0.9592916835
2	0.9072281449
3	0.8527588272
4	0.7998182117
5	0.75415529
6	0.7151608212
7	0.6793497334
8	0.6456664432
9	0.6139662353
10	0.5794595633
11	0.5522905591
12	0.5254885261
13	0.5020729693
14	0.4817926225
15	0.460766486
16	0.4448200895
17	0.4296085529
18	0.4159159031
19	0.4032875013
20	0.3876279248
21	0.3730252221
22	0.3579447012
23	0.3452202008
24	0.3344317285
25	0.3243774632
26	0.3142754538
27	0.3032383257
28	0.2935646733
29	0.2848652171
30	0.2756547687
31	0.268105677
32	0.261198428
33	0.2550133242
34	0.2482423878
35	0.2421301179
36	0.2347123831
37	0.2296700352
38	0.2225568189
39	0.2179814961
40	0.2147064743
41	0.2092498387
42	0.2038568612
43	0.1992162929
44	0.1940025283
45	0.1895951689
46	0.1845398408
47	0.1809519811
48	0.1769024441
49	0.1724195595
50	0.1682590391
51	0.1649430769
52	0.1614521381
53	0.1592220493
54	0.1561050184
55	0.1530354469
56	0.1497069864
57	0.1470974787
58	0.1443275735
59	0.1414288506
60	0.1396030729
61	0.1365657651
62	0.1339561362
63	0.1317352567
64	0.1298408263
65	0.1273506716
66	0.1249111642
67	0.1229157991
68	0.1215070195
69	0.1189025995
70	0.1167798318
71	0.1143487171
72	0.1127759845
73	0.1109809573
74	0.1087959123
75	0.1070063992
76	0.1053224144
77	0.1038584878
78	0.1022572802
79	0.1006714086
80	0.09904206351
81	0.09763345758
82	0.0961903737
83	0.09461663292
84	0.09340739538
85	0.09176995312
86	0.09044891826
87	0.08915838039
88	0.0873724483
89	0.08622340074
90	0.08501636887
91	0.08412309934
92	0.08319679633
93	0.08197910459
94	0.08089980159
95	0.07977380321
96	0.07862192571
97	0.07737943691
98	0.0760407523
99	0.0747564453
100	0.07407928559
101	0.07325295446
102	0.07208485253
103	0.0712980659
104	0.07054538249
105	0.06985083254
106	0.06901505
107	0.06805449506
108	0.06742473576
109	0.06650431304
110	0.06579546419
111	0.06511410496
112	0.0641630469
113	0.06332349112
114	0.06280086685
115	0.0620619102
116	0.06130754678
117	0.06048242649
118	0.05979830838
119	0.05906782272
120	0.05826280153
121	0.05750342776
122	0.05690349449
123	0.05628112789
124	0.05569105617
125	0.05539038213
126	0.05485734049
127	0.05441440415
